TIC,stype,inner_key,outer_key,inner_radius,outer_radius,inner_error,outer_error,inner_frac_error,outer_frac_error,period_ratio
259377017,M,270.01,270.02,2.407087230875584,2.0234009062750817,0.11973171,0.0786569633019303,0.0497413257252198,0.0388736424195496,2.0103453356591388
260417932,K,932.02,932.01,1.70724,2.7470788403583057,0.149537,0.3770876,0.0875899112017056,0.1372685757904261,2.418163346648992
261257684,K,904.01,904.02,2.3096129984998166,2.340834103214928,0.41049486,0.32274127,0.177733178790833,0.1378744737000984,7.722467296253489
269701147,G,1339.01,1339.02,3.20594,3.1455035278275822,0.162835,0.21427958,0.0507916554894976,0.0681225050629622,3.2184029326574093
269701147,G,1339.02,1339.03,3.1455035278275822,3.2843583134709653,0.21427958,0.1753467,0.0681225050629622,0.0533884196741891,1.3418644596307256
278683844,K,119.01,119.02,1.968756124085269,1.8105614490372497,0.1196785606389439,0.1157966514027,0.060788921072969,0.0639562117398853,1.929528116052582
279741379,K,186.02,186.01,1.00084,3.12194,0.107854,0.291907,0.1077634786779105,0.0935017969595828,4.571820119627112
288631580,G,1659.02,1659.01,1.18609,2.182290426840325,0.100029,0.3097249,0.0843350841841681,0.14192652645617,1.729421279002981
295593712,G,4418.01,4418.02,2.26441,2.81726,0.171371,0.185269,0.0756801992572016,0.0657621234816807,3.3717458304084724
299798795,M,1224.01,1224.02,2.102385378506385,3.383912417836091,0.30378047,0.15954576,0.1444932375889226,0.0471483124560371,4.294931485082306
304690618,G,6655.01,6655.02,2.31017,2.49711,0.162042,0.190459,0.0701428899171922,0.0762717701663122,1.8870349393939885
306263608,G,1471.01,1471.02,3.91576,3.28372,0.267684,0.170049,0.0683606758330439,0.0517854750100495,2.530455106734866
307809773,M,4599.01,4599.02,1.27326,1.89602,0.0588576,0.173003,0.0462259082983836,0.0912453455132329,2.060335795684814
321669174,M,2081.02,2081.01,1.399684820810587,1.9479290186931912,0.21790844,0.3443212,0.1556839345259203,0.1767627037205878,2.0559711327439514
328933398,G,1873.03,1873.01,3.103923217934055,3.93465,0.22486447,0.232854,0.0724452424276358,0.0591803591170752,3.5591386770533617
354518617,K,2540.01,2540.02,2.592463296673522,2.28729,0.2972776,0.247107,0.114669935879689,0.1080348359849428,1.7361800048479803
367630162,K,2104.04,2104.01,1.16969,1.46772,0.0963535,0.109967,0.0823752447229607,0.0749236911672526,1.6524201760669746
367630162,K,2104.01,2104.02,1.46772,1.35959,0.109967,0.110126,0.0749236911672526,0.0809994189424753,1.8043418111929308
367630162,K,2104.02,2104.05,1.35959,1.6790876424356902,0.110126,0.27665547,0.0809994189424753,0.1647653541173602,1.6193279856528242
367630162,K,2104.05,2104.03,1.6790876424356902,1.86864,0.27665547,0.151508,0.1647653541173602,0.0810792876102406,1.5877732464733758
368435330,G,1797.02,1797.01,1.53671,2.99324,0.120057,0.165456,0.0781259964469548,0.0552765565073298,3.5130268003159952
375059587,G,786.01,786.02,2.30678,2.14038,0.159921,0.136663,0.0693265070791319,0.0638498771246227,3.043066753092374
377064495,G,561.02,561.01,1.48867,2.6584,0.100506,0.157545,0.0675139554098624,0.0592630905808004,24.136869073314838
393546540,K,5696.02,5696.01,2.6538,3.16626,0.143145,0.182537,0.0539396337327605,0.0576506667171994,50.48653504385389
394672497,K,3485.02,3485.01,1.49811,2.20757,0.149393,0.187216,0.0997209817703639,0.0848063708059087,1.961163134266612
425997655,K,174.04,174.05,0.757588,0.969819,0.0655541,0.073197,0.086530013674979,0.0754749082045206,1.9884968461028816
425997655,K,174.05,174.03,0.969819,1.15643,0.073197,0.097689,0.0754749082045206,0.0844746331381925,1.5380516787966931
425997655,K,174.03,174.01,1.15643,1.921343472017504,0.097689,0.149838311308784,0.0844746331381925,0.0779862182327277,1.452614026197806
425997655,K,174.01,174.02,1.921343472017504,1.60982,0.149838311308784,0.115321,0.0779862182327277,0.0716359592997974,1.686603719877154
431810418,G,5968.02,5968.01,2.47478,1.90769,0.171555,0.184916,0.0693213134096768,0.0969318914498686,81.80171612702465
440887364,K,836.02,836.01,1.69257,2.64032,0.158074,0.246702,0.0933928877387641,0.093436401648285,2.252055491955383
441798995,M,2269.02,2269.03,1.42162,1.84659036260576,0.123241,0.26620564,0.0866905361489005,0.144160635401753,3.66152515901411
456260074,K,6249.02,6249.01,2.586424607598546,3.138410121634112,0.33543804,0.38553283,0.1296917911368964,0.1228433554118351,70.11739510405465
462553953,G,4156.01,4156.02,2.32515,3.095406522922576,0.156053,0.46385154,0.0671152398769971,0.1498515741195916,2.873821077523804
467179528,M,1266.01,1266.02,2.469141398995061,1.911228226880924,0.28267094,0.31726363,0.1144814712170987,0.1659998662314475,1.7257350717484266
